"Россия, Москва",32,135441,200712,2020-02-13 21:36:13
"Россия, Санкт-Петербург",33,109136,215780,2020-02-13 21:36:25
"Россия, Самара",34,180366,191504,2020-02-13 21:36:35
"Россия, Республика Северная Осетия — Алания, Владикавказ",35,160855,154876,2020-02-13 21:36:45
"Россия, Республика Башкортостан, Уфа",36,201451,197047,2020-02-13 21:36:56
"Россия, Нижний Новгород",37,158423,202776,2020-02-13 21:37:07
"Франция, Иль-де-Франс, Париж",38,8466,175884,2020-02-13 21:37:16
"Франция, Прованс-Альпы-Лазурный Берег, Буш-дю-Рон, город Марсель",39,19363,155891,2020-02-13 21:37:28
"Соединённые Штаты Америки, штат Нью-Йорк, Нью-Йорк",40,-266410,146573,2020-02-13 21:37:42
"Израиль, Иерусалим",41,126739,114399,2020-02-13 21:37:55
"Россия, Камчатский край, Петропавловск-Камчатский",42,571117,190887,2020-02-13 21:46:34
